Age,Gender,Class,Size of Family,Father education,Mother education,Father Occupation,Mother Occupation,Health Issues,ParentMaritalStatus,PracticeSport,Attendance,Homework completion,Academic Score,Attentivity in Class,Behavioral Patterns,Performance,Self-Esteem,Socially Skills,Teacher Interaction,Cognitive Development,Technology Influence,Social Media Influence,Involved in Extra-Curricular
10,M,5,3,Graduate,Graduate,Private,Private,N,Married,Regularly,95%,Always,45%,Good,Calm,Poor,Low,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,4,Post Graduate,High school,Private,Private,N,Married,Regularly,88%,Always,89%,Good,Calm,Excellent,Confident,Active,Good,Excellent,No Usage,Inactive,Regularly
10,F,5,5,Graduate,Graduate,Government,Private,N,Married,Regularly,93%,Always,75%,Good,Calm,Good,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,4,Post Graduate,High school,Government,Government,N,Married,Regularly,89%,Always,76%,Good,Calm,Good,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,3,Graduate,Graduate,Self Employed,Self Employed,N,Married,Regularly,85%,Always,52%,Moderate,Calm,Poor,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,2,Post Graduate,High school,Self Employed,Self Employed,N,Widow,Regularly,90%,Sometimes,58%,Moderate,Disturbed,Poor,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,3,Graduate,Graduate,Private,Private,N,Married,Regularly,92%,Always,91%,Good,Calm,Excellent,Confident,Active,Good,Excellent,No Usage,Inactive,Regularly
10,M,5,4,Post Graduate,High school,Private,Private,N,Married,Regularly,87%,Always,55%,Moderate,Disturbed,Poor,Over Confident ,Active,Good,Good,Moderate,Inactive,Regularly
10,F,5,3,Graduate,Graduate,Government,Private,N,Married,Regularly,88%,Always,64%,Good,Calm,Average,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,2,Post Graduate,High school,Government,Government,N,Widow,Regularly,91%,Always,73%,Good,Calm,Good,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,5,Graduate,Graduate,Self Employed,Self Employed,N,Married,Regularly,87%,Always,78%,Good,Calm,Good,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,3,Post Graduate,High school,Self Employed,Self Employed,N,Married,Regularly,89%,Always,58%,Good,Disturbed,Poor,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,4,Graduate,Graduate,Private,Private,N,Married,Regularly,80%,Always,84%,Good,Calm,Excellent,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,3,Post Graduate,High school,Private,Private,N,Married,Regularly,92%,Always,87%,Good,Calm,Excellent,Low,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,4,Graduate,Graduate,Government,Private,N,Married,Regularly,98%,Always,68%,Good,Calm,Average,Confident,Active,Good,Average,No Usage,Inactive,Regularly
10,F,5,5,Post Graduate,High school,Government,Government,N,Married,Regularly,96%,Sometimes,67%,Good,Disturbed,Average,Confident,Active,Good,Average,Moderate,Inactive,Regularly
10,M,5,4,Graduate,Graduate,Self Employed,Self Employed,N,Married,Regularly,93%,Always,70%,Good,Calm,Average,Confident,Active,Good,Good,No Usage,Inactive,Regularly
