iter	MultiClass
0	1.251025421
1	1.144870796
2	1.058994887
3	0.9974139262
4	0.9418378762
5	0.8963950846
6	0.8600139226
7	0.8202459176
8	0.7912790457
9	0.765814908
10	0.7396450838
11	0.7155560938
12	0.6976672795
13	0.6764953349
14	0.6653667998
15	0.6455401761
16	0.6322882956
17	0.6176206162
18	0.6056670628
19	0.5966262034
20	0.5872231366
21	0.5756851286
22	0.5649630509
23	0.555664554
24	0.5509597615
25	0.5449709645
26	0.5400346187
27	0.5338074956
28	0.5264319737
29	0.5179834909
30	0.5136359335
31	0.507969221
32	0.5030123758
33	0.5000681797
34	0.4967617346
35	0.4929086229
36	0.4885310782
37	0.484611323
38	0.4812224918
39	0.4781448614
40	0.4749106162
41	0.4692582679
42	0.4657006568
43	0.4626944064
44	0.4585973641
45	0.4555146803
46	0.4507137936
47	0.448924901
48	0.4449112769
49	0.4426785326
50	0.4391654675
51	0.4370469029
52	0.4329179421
53	0.4293963645
54	0.4267519957
55	0.4227641226
56	0.4201311864
57	0.41685078
58	0.4134437077
59	0.4097805824
60	0.4074666372
61	0.404893738
62	0.4024540034
63	0.4011976019
64	0.3972800929
65	0.3944997237
66	0.3911259974
67	0.3878869012
68	0.3854305285
69	0.3832907237
70	0.3814548044
71	0.3771699487
72	0.3748810825
73	0.3723829366
74	0.3697394838
75	0.3659223059
76	0.3637214512
77	0.362077725
78	0.3584630555
79	0.3555337484
80	0.3529740945
81	0.3508855049
82	0.3486036524
83	0.3461423565
84	0.3449365131
85	0.3423082987
86	0.3404412196
87	0.338648087
88	0.336487568
89	0.3345985129
90	0.333105517
91	0.3304640438
92	0.3280929667
93	0.3260101309
94	0.3233733105
95	0.3210728734
96	0.3196024353
97	0.317727601
98	0.3151171266
99	0.3129426592
100	0.3107568532
101	0.3084137115
102	0.3064676377
103	0.3049221022
104	0.302335797
105	0.3003734474
106	0.2979849401
107	0.2965596593
108	0.2947403986
109	0.2927786831
110	0.2912362771
111	0.2898210979
112	0.2881060141
113	0.2861764059
114	0.2849040485
115	0.2831412103
116	0.2813924009
117	0.2799887079
118	0.2780212118
119	0.2768710576
120	0.2749668935
121	0.2729201623
122	0.2715789043
123	0.2696072803
124	0.2675452168
125	0.2654385956
126	0.2636143523
127	0.262508647
128	0.2616187557
129	0.2603299265
130	0.25903433
131	0.2577512554
132	0.2563922557
133	0.254321411
134	0.2527353035
135	0.2513295088
136	0.2492710191
137	0.2477161795
138	0.24665553
139	0.2461836226
140	0.2450612185
141	0.2433123602
142	0.242096755
143	0.2407944319
144	0.2393876881
145	0.2376446083
146	0.2366223416
147	0.2355684957
148	0.2343418562
149	0.2336785527
150	0.2324041585
151	0.2306686097
152	0.2298619531
153	0.2290724081
154	0.2278143745
155	0.2268979719
156	0.2257756151
157	0.2250261489
158	0.2234439208
159	0.2227471508
160	0.2212361589
161	0.2201588866
162	0.2194991738
163	0.2185224675
164	0.2172088461
165	0.2157365096
166	0.2149944405
167	0.2139726087
168	0.2127021844
169	0.2108529278
170	0.2098205734
171	0.2092285299
172	0.2082357489
173	0.207914049
174	0.207240714
175	0.2063267196
176	0.2055805753
177	0.2045583847
178	0.2034933474
179	0.2024735388
180	0.2018439845
181	0.2008660346
182	0.2000009261
183	0.1990047098
184	0.1978850107
185	0.1969883874
186	0.1961238448
187	0.195439368
188	0.1944446993
189	0.1933745112
190	0.1923480716
191	0.1916549635
192	0.1910088427
193	0.1904833883
194	0.1897828251
195	0.1892256212
196	0.1884605721
197	0.1871551233
198	0.1867707625
199	0.1853493463
200	0.1845528663
201	0.1841297592
202	0.183371695
203	0.1829803006
